keggMetaboliteID	metaboliteName	pathwayEntry	pathwayName	pathwayClass	type
C00532	L-Arabitol	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C00558	D-Tagaturonate	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C00618	3-Dehydro-L-gulonate	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C00714	Pectin	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C00789	CDP-ribitol	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C00800	L-Gulonate	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C00817	D-Altronate	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C00905	D-Fructuronate	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C01068	D-Ribitol 5-phosphate	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C01101	L-Ribulose 5-phosphate	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C01508	L-Lyxose	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C01904	D-Arabitol	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C02266	D-Xylonolactone	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C02273	Digalacturonate	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C02426	L-Glyceraldehyde	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C02753	D-Xylono-1,4-lactone	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C03033	beta-D-Glucuronoside	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C03291	L-Xylulose 5-phosphate	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C03826	2-Dehydro-3-deoxy-D-xylonate	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C04053	5-Dehydro-4-deoxy-D-glucuronate	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C04349	(4S)-4,6-Dihydroxy-2,5-dioxohexanoate	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C04575	(4R,5S)-4,5,6-Trihydroxy-2,3-dioxohexanoate	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C05385	D-Glucuronate 1-phosphate	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C05411	L-Xylonate	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C05412	L-Lyxonate	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C06118	4-(4-Deoxy-alpha-D-gluc-4-enuronosyl)-D-galacturonate	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C06441	L-Xylulose 1-phosphate	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C14899	3-Dehydro-L-gulonate 6-phosphate	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C15930	L-Galactonate	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C20680	2-Dehydro-3-deoxy-L-galactonate	hsa00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism	metabolite
C00095	D-Fructose	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00096	GDP-mannose	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00111	Glycerone phosphate	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00118	D-Glyceraldehyde 3-phosphate	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00159	D-Mannose	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00186	(S)-Lactate	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00247	L-Sorbose	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00267	alpha-D-Glucose	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00275	D-Mannose 6-phosphate	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00325	GDP-L-fucose	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00392	Mannitol	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00424	(S)-Lactaldehyde	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00464	Mannan	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00507	L-Rhamnose	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00577	D-Glyceraldehyde	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00636	D-Mannose 1-phosphate	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00644	D-Mannitol 1-phosphate	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00665	beta-D-Fructose 2,6-bisphosphate	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00794	D-Sorbitol	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00861	L-Rhamnulose	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C00976	GDP-D-mannuronate	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C01019	6-Deoxy-L-galactose	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C01094	D-Fructose 1-phosphate	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C01096	Sorbitol 6-phosphate	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
C01099	L-Fuculose 1-phosphate	hsa00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism	metabolite
